code,name
000428.SZ,华天酒店
000430.SZ,*ST张股
000523.SZ,红棉股份
000524.SZ,岭南控股
000529.SZ,广弘控股
000558.SZ,天府文旅
000568.SZ,泸州老窖
000596.SZ,古井贡酒
000610.SZ,西安旅游
000639.SZ,西王食品
000716.SZ,黑芝麻
000721.SZ,西安饮食
000729.SZ,燕京啤酒
000752.SZ,ST西发
000796.SZ,凯撒旅业
000799.SZ,酒鬼酒
000848.SZ,承德露露
000858.SZ,五 粮 液
000860.SZ,顺鑫农业
000869.SZ,张  裕Ａ
000888.SZ,峨眉山Ａ
000895.SZ,双汇发展
000911.SZ,广农糖业
000929.SZ,*ST兰黄
000972.SZ,*ST中基
000978.SZ,桂林旅游
000995.SZ,皇台酒业
001215.SZ,千味央厨
001219.SZ,青岛食品
001318.SZ,阳光乳业
002033.SZ,丽江股份
002059.SZ,云南旅游
002159.SZ,三特索道
002186.SZ,全 聚 德
002216.SZ,三全食品
002286.SZ,保龄宝
002304.SZ,洋河股份
002306.SZ,*ST云网
002329.SZ,皇氏集团
002330.SZ,得利斯
002461.SZ,珠江啤酒
002481.SZ,双塔食品
002495.SZ,佳隆股份
002507.SZ,涪陵榨菜
002515.SZ,金字火腿
002557.SZ,洽洽食品
002568.SZ,百润股份
002570.SZ,贝因美
002582.SZ,好想你
002597.SZ,金禾实业
002626.SZ,金达威
002627.SZ,三峡旅游
002646.SZ,天佑德酒
002650.SZ,ST加加
002661.SZ,克明食品
002695.SZ,煌上煌
002702.SZ,海欣食品
002707.SZ,众信旅游
002719.SZ,麦趣尔
002726.SZ,龙大美食
002732.SZ,燕塘乳业
002820.SZ,桂发祥
002840.SZ,华统股份
002847.SZ,盐津铺子
002852.SZ,道道全
002910.SZ,庄园牧场
002946.SZ,新乳业
002956.SZ,西麦食品
002991.SZ,甘源食品
003000.SZ,劲仔食品
003030.SZ,祖名股份
300094.SZ,国联水产
300106.SZ,西部牧业
300144.SZ,宋城演艺
300146.SZ,汤臣倍健
300741.SZ,华宝股份
300756.SZ,金马游乐
300765.SZ,新诺威
300783.SZ,三只松鼠
300791.SZ,仙乐健康
300829.SZ,金丹科技
300858.SZ,科拓生物
300859.SZ,西域旅游
300892.SZ,品渥食品
300898.SZ,熊猫乳品
300908.SZ,仲景食品
300915.SZ,海融科技
300973.SZ,立高食品
300997.SZ,欢乐家
300999.SZ,金龙鱼
301073.SZ,君亭酒店
301116.SZ,益客食品
301206.SZ,三元生物
600054.SH,黄山旅游
600059.SH,古越龙山
600073.SH,光明肉业
600084.SH,中信尼雅
600132.SH,重庆啤酒
600138.SH,中青旅
600186.SH,莲花控股
600189.SH,泉阳泉
600197.SH,伊力特
600199.SH,金种子酒
600238.SH,*ST椰岛
600258.SH,首旅酒店
600298.SH,安琪酵母
600300.SH,维维股份
600305.SH,恒顺醋业
600365.SH,ST通葡
600381.SH,*ST春天
600419.SH,天润乳业
600429.SH,三元股份
600519.SH,贵州茅台
600530.SH,交大昂立
600543.SH,莫高股份
600559.SH,老白干酒
600573.SH,惠泉啤酒
600576.SH,祥源文旅
600593.SH,大连圣亚
600597.SH,光明乳业
600600.SH,青岛啤酒
600616.SH,金枫酒业
600696.SH,*ST岩石
600702.SH,舍得酒业
600706.SH,曲江文旅
600737.SH,中粮糖业
600749.SH,西藏旅游
600754.SH,锦江酒店
600779.SH,水井坊
600809.SH,山西汾酒
600872.SH,中炬高新
600882.SH,妙可蓝多
600887.SH,伊利股份
600962.SH,国投中鲁
601007.SH,金陵饭店
601579.SH,会稽山
601888.SH,中国中免
603020.SH,爱普股份
603027.SH,千禾味业
603043.SH,广州酒家
603057.SH,紫燕食品
603099.SH,长白山
603102.SH,百合股份
603136.SH,天目湖
603156.SH,养元饮品
603170.SH,宝立食品
603198.SH,迎驾贡酒
603199.SH,九华旅游
603235.SH,天新药业
603237.SH,五芳斋
603262.SH,技源集团
603288.SH,海天味业
603317.SH,天味食品
603345.SH,安井食品
603369.SH,今世缘
603517.SH,ST绝味
603536.SH,惠发食品
603589.SH,口子窖
603696.SH,安记食品
603697.SH,有友食品
603711.SH,香飘飘
603719.SH,良品铺子
603755.SH,日辰股份
603777.SH,来伊份
603779.SH,威龙股份
603866.SH,桃李面包
603886.SH,元祖股份
603919.SH,金徽酒
605016.SH,百龙创园
605077.SH,华康股份
605089.SH,味知香
605108.SH,同庆楼
605179.SH,一鸣食品
605198.SH,安德利
605300.SH,佳禾食品
605337.SH,李子园
605338.SH,巴比食品
605339.SH,南侨食品
605388.SH,均瑶健康
605499.SH,东鹏饮料
605567.SH,春雪食品
688089.SH,嘉必优
